名称,lng,lat
北京市,116.62757348733689,40.251278032500124
天津市,117.33724319192152,39.40294525750012
河北省,115.67055524386573,39.331989412500114
山西省,112.45818928653375,37.66436012250014
内蒙古自治区,118.34243966145124,45.3700221550001
中朝共有,126.58551740026033,41.5671815400001
辽宁省,122.39278363782331,41.10520374000011
吉林省,126.12575875471009,43.583194027500085
黑龙江省,127.57556167851223,48.491863477500104
上海市,121.50265222041975,31.282488228750125
江苏省,119.96424749721119,32.943743157500066
浙江省,119.78398756080549,29.17461241000003
安徽省,117.15787433326503,32.02378584250005
福建省,117.99823722756469,25.941899937500065
江西省,115.51176843581267,27.282452022500078
山东省,118.0278122790642,36.32695272750004
河南省,113.07333126380286,33.875349187500085
湖北省,112.88104173486744,31.152770762500154
湖南省,111.35393422257602,27.385437152500145
广东省,113.32249624272711,22.871583312500118
广西壮族自治区,108.98284097912315,23.894222565000064
海南省,109.62916026829035,19.160454175000027
重庆市,107.86808682641131,30.184745940000063
四川省,102.26514275295224,30.18170392500008
贵州省,106.627942990354,26.92348183500006
云南省,101.26676242268667,25.1837606900001
西藏自治区,87.47320939881425,31.66900937500005
陕西省,109.5658290269402,35.645010950000085
甘肃省,102.89804782143065,37.695410381250085
青海省,95.94973850288994,35.40734472000011
宁夏回族自治区,105.96111133526495,37.31318708000005
新疆维吾尔自治区,87.17253173375462,41.759238635000045
台湾省,120.83646113462459,23.597697711250063
香港特别行政区,114.06012758004468,22.41186342750012
澳门特别行政区,113.56536098808485,22.138200297500084
